user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UH1NNSY9Z,115,100.0,1567454673.0,100.0,,,,,0,0,0,0,0,0,0
UMY82QS48,116,100.0,1567454665.0,100.0,,,,,0,0,0,0,0,0,0
UH226J598,117,100.0,1567454570.0,100.0,,,,,0,0,0,0,0,0,0
UJXN6V6P4,118,100.0,1567454502.0,100.0,,,,,0,0,0,0,0,0,0
UG38R77UM,119,100.0,1567454437.0,100.0,,,,,0,0,0,0,0,0,0
UMXQPCC1E,120,100.0,1567454391.0,100.0,,,,,0,0,0,0,0,0,0
UMWSM7BLY,121,100.0,1567454336.0,100.0,,,,,0,0,0,0,0,0,0
UG4GWDG3G,122,100.0,1567454321.0,100.0,,,,,0,0,0,0,0,0,0
UG3D819TQ,123,100.0,1567454230.0,100.0,,,,,0,0,0,0,0,0,0
UHV9G02J1,124,100.0,1567454204.0,100.0,,,,,0,0,0,0,0,0,0
UH04E5KH9,125,100.0,1567454187.0,100.0,,,,,0,0,0,0,0,0,0
UMRRYMMEV,126,100.0,1567454171.0,100.0,,,,,0,0,0,0,0,0,0
UG1HXRUQ1,127,100.0,1567454087.0,100.0,,,,,0,0,0,0,0,0,0
UG5G4TJ1L,128,100.0,1567454029.0,100.0,,,,,0,0,0,0,0,0,0
UG2BH637U,129,100.0,1567453849.0,100.0,,,,,0,0,0,0,0,0,0
UG73B8BLN,130,100.0,1567453848.0,100.0,,,,,0,0,0,0,0,0,0
ULQQ2QD8A,131,100.0,1567453841.0,100.0,,,,,0,0,0,0,0,0,0
UH1ARS9FH,132,100.0,1567453832.0,100.0,,,,,0,0,0,0,0,0,0
UGZ5K7MK2,133,100.0,1567453795.0,100.0,,,,,0,0,0,0,0,0,0
UJJJNLPRV,134,100.0,1567453761.0,100.0,,,,,0,0,0,0,0,0,0
UJ760K2M9,135,100.0,1567453582.0,100.0,,,,,0,0,0,0,0,0,0
UMF58LGFM,136,100.0,1567453484.0,100.0,,,,,0,0,0,0,0,0,0
UH1M2D0SZ,137,100.0,1567453432.0,100.0,,,,,0,0,0,0,0,0,0
UMZQUJEK1,138,100.0,1567453345.0,100.0,,,,,0,0,0,0,0,0,0
UH0916G82,139,100.0,1567453302.0,100.0,,,,,0,0,0,0,0,0,0
UH1MCPK7W,140,100.0,1567453268.0,100.0,,,,,0,0,0,0,0,0,0
UH7TF0KKL,141,100.0,1567453038.0,100.0,,,,,0,0,0,0,0,0,0
UH03N1TDF,142,100.0,1567452980.0,100.0,,,,,0,0,0,0,0,0,0
UG337BLG2,143,100.0,1567452917.0,100.0,,,,,0,0,0,0,0,0,0
